t_idx,line,from_bus,to_bus,loading_percent,p_from_mw,p_to_mw,q_from_mvar,q_to_mvar
2,1,2,3,63.32843460775498,2.7676975929055647,-2.7122931199865534,1.3364162808715299,-1.3352401473747966
2,2,3,4,35.77396707915072,1.6616195737387471,-1.6591560682297517,0.3838760072809636,-0.39080270942231576
2,3,4,5,26.890108352330515,1.2475060682299157,-1.2462286350126488,0.2826210219702946,-0.2903560909845101
2,4,5,6,11.8709681388347,0.548728635012819,-0.5480500013975383,0.10802740426739536,-0.13327480690752003
2,5,7,8,28.576255580434474,1.3624563181217935,-1.3581509116660695,-0.06813601898609598,0.045718420985439795
2,6,8,9,31.191263146275162,1.3686670155780591,-1.3676846008063888,0.5696283043640256,-0.573677319567176
2,7,9,10,17.997081884501014,0.8239346008067293,-0.8231496848379285,0.21809900540855698,-0.23006964365371202
2,8,10,11,6.9148086767330295,0.3198496848380682,-0.3198000118800316,0.06880561998726802,-0.07433764721402582
2,9,3,8,19.967403682196323,0.5689735462486103,-0.5673661039117464,0.7424818269161153,-0.762425199301429
2,10,12,13,9.968255124383948,0.6093885702518759,-0.606572634761778,0.2803822044768505,-0.28453534072381076
2,11,13,14,9.400843374779049,0.5725726347617989,-0.5710391456322292,0.26346403321812734,-0.2661084304341862
2,12,6,7,0.08586057114256943,1.3982487531098015e-09,-6.197832637400918e-13,-0.004079470418809349,-5.668320433598604e-13
2,13,11,4,0.17518411443042728,1.1880142549618514e-08,1.424155081965099e-14,-0.008318024097884586,1.0652008740293263e-13
2,14,14,8,0.03726890425693396,4.040340819533696e-09,3.3549881079936836e-14,-0.0024975835757894234,5.338253372575988e-14
3,0,1,2,62.73118039030096,2.808160211621834,-2.773342741448434,1.334536188975852,-1.3368103561186249
3,1,2,3,63.43633766206398,2.7733427414485674,-2.717747271384417,1.3368103561185674,-1.335353657830839
3,2,3,4,35.77645210508882,1.6616201891343736,-1.6591563409381664,0.3838837974085364,-0.39080858103176486
3,3,4,5,26.891978237009745,1.2475063409381835,-1.2462287297900978,0.2826268935794794,-0.29036039650960577
3,4,5,6,11.871789123711048,0.54872872979011,-0.5480500013977253,0.10803170979244099,-0.13327536919198874
3,5,7,8,28.464434480046553,1.3569811498804563,-1.3527094121539431,-0.06825939169154349,0.04579853644684495
3,6,8,9,31.19376453737377,1.3686673071838518,-1.3676847346235652,0.5696338548359884,-0.5736817844923586
3,7,9,10,17.99851903044042,0.8239347346236257,-0.8231496928193642,0.21810347033311234,-0.23007185914734563
3,8,10,11,6.915362469855836,0.31984969281930437,-0.31980001187830737,0.06880783548086733,-0.07433896429405126
3,9,3,8,20.038887992208853,0.574427082250085,-0.5728078950299396,0.742587547244537,-0.7625108652347418
3,10,12,13,9.968255124385866,0.6093885702520049,-0.6065726347619199,0.28038220447685214,-0.28453534072381026
3,11,13,14,9.400843374778619,0.5725726347617961,-0.5710391456322237,0.2634640332180984,-0.26610843043412913
