t_idx,trafo,name,hv_bus,lv_bus,sn_mva,loading_percent,p_hv_mw,q_hv_mvar,p_lv_mw,q_lv_mvar
5,0,Trafo 0-1,0,1,25.0,131.12690296784183,30.174712457760236,15.15169761638042,-30.105935399032475,-9.993416758437952
5,1,Trafo 0-12,0,12,25.0,27.277722780699452,6.548982436698342,2.5392117520980806,-6.54600614005792,-2.3159894411743385
5,2,CS_Trafo_15,7,15,0.25,2.527505801116327,0.004620435150300239,0.00142818379088655,-0.0043269530669788215,-0.0014222006969725283
5,3,CS_Trafo_16,14,16,0.25,0.18776826057206414,0.0004407136995360121,1.7490194415410417e-08,-3.4920119255695568e-16,2.277906098731548e-16
5,4,HH_Trafo_17,14,17,1.0,0.5808029940633846,0.0049661616582040175,0.0022518357466455295,-0.004525354140216667,-0.0014874119761932967
6,0,Trafo 0-1,0,1,25.0,144.34720830909276,32.48738653962181,18.05919346468977,-32.404042073435285,-11.808356739509133
6,1,Trafo 0-12,0,12,25.0,27.393197721059607,6.576158985080777,2.551372116975424,-6.573157435955236,-2.326255869132767
6,2,CS_Trafo_15,7,15,0.25,8.350292568411346,0.013744221224341203,0.0045040614782086135,-0.01349612583681598,-0.004435962044486911
6,3,CS_Trafo_16,14,16,0.25,0.18769713266333288,0.000440379872013407,1.7476946379820857e-08,5.621051741641771e-16,1.6238565074765434e-15
6,4,HH_Trafo_17,14,17,1.0,0.7985894073713461,0.00691396644932056,0.0028926397688866217,-0.006473367776394881,-0.0021276930950786333
7,0,Trafo 0-1,0,1,25.0,135.4893121421282,30.96749726474092,16.06926872149591,-30.894067849921928,-10.562061058399511
7,1,Trafo 0-12,0,12,25.0,27.87289445705411,6.689587845903989,2.60050451584319,-6.686480252922324,-2.367434976550942
7,2,CS_Trafo_15,7,15,0.25,12.564347834516653,0.02215211521167215,0.00733906725959461,-0.02185742795214808,-0.007184189147963894
7,3,CS_Trafo_16,14,16,0.25,0.1874781028781622,0.000439352684987716,1.743618286434651e-08,2.4127161403717937e-16,-1.1524468333486185e-15
7,4,HH_Trafo_17,14,17,1.0,0.6986960053911815,0.006013636052273726,0.0025947432888001557,-0.005574127662662584,-0.0018321271629575123
8,0,Trafo 0-1,0,1,25.0,144.6306818818195,32.547746730611436,18.100844843858596,-32.464074594045016,-11.825432833262399
8,1,Trafo 0-12,0,12,25.0,27.80040691839783,6.672439345323405,2.5931015407258817,-6.669347894824092,-2.361242687950416
8,2,CS_Trafo_15,7,15,0.25,13.121491032962815,0.02159232587504935,0.007180350396887738,-0.02133121324398326,-0.007011230738042904
8,3,CS_Trafo_16,14,16,0.25,0.18750975488758562,0.0004395010497179995,1.7442070303835345e-08,-1.1526128742812965e-15,-2.4144856941424817e-16
8,4,HH_Trafo_17,14,17,1.0,0.5323967048510262,0.004525832951600182,0.002105218684242494,-0.004086259294193829,-0.0013430884796355193
