t_idx,bus,name,vn_kv,vm_pu,va_degree,p_mw,q_mvar
1,4,Bus 4,20.0,0.9485041474629521,-7.610245655426835,0.4116500000000016,0.10818168745217438
1,5,Bus 5,20.0,0.9472785392529528,-7.677132821598228,0.697499999999998,0.18232868671714808
1,6,Bus 6,20.0,0.9458096013404403,-7.7589202677336795,0.5480499999999999,0.13735427732691807
1,7,Bus 7,20.0,0.9502500336348656,-7.25652143559826,-1.4235000000000007,0.04741044188783761
1,8,Bus 8,20.0,0.947450219063529,-7.521246617715363,0.5568499999999972,0.14707847395183293
1,9,Bus 9,20.0,0.9465253773443435,-7.556678095195542,0.5437499999999993,0.3555783141587803
1,10,Bus 10,20.0,0.9453592188812054,-7.6155206526527754,0.503300000000003,0.16126402366661452
1,11,Bus 11,20.0,0.9451746456662692,-7.625737803827062,0.3197999999999972,0.08265567131177409
1,12,Bus 12,20.0,1.0000735011279382,-5.495886873927688,20.01,4.693341029123443
1,13,Bus 13,20.0,0.995006539878049,-5.55111446381766,0.03399999999999892,0.021071307505705406
1,14,Bus 14,20.0,0.9920833732211292,-5.583323753087627,0.5400500000000008,0.2577128050395441
1,15,LV_CS_Trafo_15,0.4,0.945356966211506,-7.933813915407431,0.06918802952766612,0.019999999999999574
1,16,LV_CS_Trafo_16,0.4,0.9920784120478116,-5.585597597473689,0.0,0.0
1,17,LV_HH_Trafo_17,0.4,0.9915128747835031,-5.650204886790252,0.030000000000001137,0.009999999999999787
2,0,Bus 0,110.0,1.03,0.0,-43.325091668329335,-15.76805461372254
2,1,Bus 1,20.0,0.9939263730964398,-6.072383932916783,19.839,4.637136047137856
2,2,Bus 2,20.0,0.9771037583206487,-6.623470099835058,0.0,0.0
2,3,Bus 3,20.0,0.950389150068702,-7.5043923397394146,0.4817,0.20888231317781525
2,4,Bus 4,20.0,0.9486076574982926,-7.600804047466587,0.4116500000000016,0.10818168745217438
2,5,Bus 5,20.0,0.9473821919884379,-7.667676941437415,0.697499999999998,0.18232868671714808
2,6,Bus 6,20.0,0.9459134264920083,-7.749446927818504,0.5480499999999999,0.13735427732691807
2,7,Bus 7,20.0,0.9503882121802977,-7.244274295005991,-1.4235000000000007,0.04741044188783761
2,8,Bus 8,20.0,0.9475691104549062,-7.510557031736372,0.5568499999999972,0.14707847395183293
2,9,Bus 9,20.0,0.9466443898578828,-7.545979801503119,0.5437499999999993,0.3555783141587803
2,10,Bus 10,20.0,0.9454783860553243,-7.604807864171371,0.503300000000003,0.16126402366661452
2,11,Bus 11,20.0,0.9452938378688738,-7.615022513759098,0.3197999999999972,0.08265567131177409
2,12,Bus 12,20.0,1.0000735011279378,-5.495886873927691,20.01,4.693341029123443
2,13,Bus 13,20.0,0.9950065398780487,-5.551114463817657,0.03399999999999892,0.021071307505705406
2,14,Bus 14,20.0,0.9920833732211286,-5.583323753087608,0.5400500000000008,0.2577128050395441
2,15,LV_CS_Trafo_15,0.4,0.9456966883887118,-7.833329344243436,0.06050288963318451,0.019999999999999574
2,16,LV_CS_Trafo_16,0.4,0.9920784120478107,-5.585597597473672,0.0,0.0
2,17,LV_HH_Trafo_17,0.4,0.9915128747835028,-5.650204886790237,0.030000000000001137,0.009999999999999787
3,0,Bus 0,110.0,1.03,0.0,-43.33087629837378,-15.769960566540794
3,1,Bus 1,20.0,0.9939200229557301,-6.073978780375023,19.839,4.637136047137856
3,2,Bus 2,20.0,0.9770741793898006,-6.626683990232654,0.0,0.0
3,3,Bus 3,20.0,0.9503242868234949,-7.51031552192332,0.4817,0.20888231317781525
3,4,Bus 4,20.0,0.948542664210097,-7.606740115714091,0.4116500000000016,0.10818168745217438
3,5,Bus 5,20.0,0.9473171091033028,-7.673621970561442,0.697499999999998,0.18232868671714808
3,6,Bus 6,20.0,0.9458482353522207,-7.755402919138928,0.5480499999999999,0.13735427732691807
3,7,Bus 7,20.0,0.9503014456975776,-7.251974527295283,-1.4235000000000007,0.04741044188783761
3,8,Bus 8,20.0,0.9474944572142872,-7.517277836107482,0.5568499999999972,0.14707847395183293
3,9,Bus 9,20.0,0.9465696605668064,-7.552706073161912,0.5437499999999993,0.3555783141587803
3,10,Bus 10,20.0,0.9454035596555938,-7.611543236630881,0.503300000000003,0.16126402366661452
